Etage,Modul,Aufgabe
1–27,BIO,"Lebenszeichen, ECO‑Unit"
81,FIELD,"Wirkung, ECO‑Feld"
243,QUANT,Quantisierung
729,QUANT‑full,Vollquantisierung
2268,META‑full,Vollausbau
